BeerID,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod
29070,Specialty IPA,23,20.82,1.067,1.011,7.27,79.14,16.68,28.39,60,1.049,70,N/A,Specific Gravity,3
29853,Specialty IPA,23,20.82,1.07,1.015,7.2,83.64,16.85,28.39,60,1.051,65,1.5,Specific Gravity,4
37819,Specialty IPA,23,20.82,1.065,1.018,6.16,54.44,16.86,28.39,60,1.048,70,1.5,Specific Gravity,4
59140,Specialty IPA,23,20.82,1.07,1.011,7.66,58.94,16.94,28.39,60,1.051,60,1.5,Specific Gravity,4
30129,Specialty IPA,23,22.71,1.059,1.014,5.93,64.28,17.09,28.39,70,1.047,70,1.4,Specific Gravity,4
55120,Specialty IPA,23,20.82,1.078,1.012,8.56,70.14,17.39,28.39,60,1.057,83,N/A,Specific Gravity,3
50250,Specialty IPA,23,20.82,1.06,1.01,6.57,38.2,17.54,28.39,90,1.044,65,1.5,Specific Gravity,4
68214,Specialty IPA,23,22.71,1.069,1.016,6.87,80.16,17.54,28.39,90,1.055,78,1.5,Specific Gravity,4
34591,Specialty IPA,23,18.93,1.079,1.019,7.9,61.95,17.72,28.39,60,1.053,70,1.25,Specific Gravity,4
55587,Specialty IPA,23,20.82,1.058,1.014,5.85,56.84,17.72,28.39,60,1.043,80,1.5,Specific Gravity,4
11681,Specialty IPA,23,22.71,1.078,1.014,8.42,97.96,18.51,28.39,60,1.062,70,1.3,Specific Gravity,4
39051,Specialty IPA,23,20.82,1.061,1.015,5.98,0,18.52,28.39,90,1.045,70,1.5,Specific Gravity,4
57731,Specialty IPA,23,18.93,1.069,1.024,5.88,95.12,19.41,28.39,75,1.046,60,N/A,Specific Gravity,2
28852,Specialty IPA,23,20.82,1.077,1.023,7.08,65.93,19.62,28.39,60,1.056,75,1.5,Specific Gravity,4
62262,Specialty IPA,23,20.82,1.063,1.015,6.34,85.57,20.55,28.39,60,1.046,73,1.25,Specific Gravity,4
69161,Specialty IPA,23,20.82,1.048,1.009,5.18,47.69,21.24,28.39,60,1.035,60,1.5,Specific Gravity,4
61941,Specialty IPA,23,20.82,1.071,1.018,7.03,68.36,21.44,28.39,60,1.052,70,1.5,Specific Gravity,4
70129,Specialty IPA,23,20.82,1.082,1.018,8.45,0,22.13,28.39,60,1.06,75,1.5,Specific Gravity,4
52477,Specialty IPA,23,21.77,1.072,1.018,7.02,66.36,22.48,28.39,90,1.055,75,1.41,Specific Gravity,4
72914,Specialty IPA,23,22.71,1.057,1.013,5.77,45.28,22.49,28.39,60,1.046,70,1.5,Specific Gravity,4
24202,Specialty IPA,23,20.82,1.058,1.019,5.2,72.8,22.73,28.39,60,1.043,70,1.25,Specific Gravity,4
45253,Specialty IPA,23,20.82,1.078,1.018,7.87,117.07,23.09,28.39,60,1.057,70,N/A,Specific Gravity,3
69445,Specialty IPA,23,20.82,1.071,1.018,6.91,105.04,23.31,28.39,60,1.052,65,1.5,Specific Gravity,4
20669,Specialty IPA,23,20.82,1.044,1.009,4.59,74.04,24.42,28.39,60,1.033,50,1.5,Specific Gravity,4
4989,Specialty IPA,23,20.82,1.063,1.014,6.43,61.39,24.54,28.39,120,1.046,60,1.5,Specific Gravity,4
43740,Specialty IPA,23,22.71,1.078,1.017,7.99,147.04,24.83,28.39,60,1.062,75,1.25,Specific Gravity,4
