StyleID,Size,OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,BrewMethod
26,47.73780032,1.054194737,1.012539534,5.470774159,23.17658302,6.466572344,53.80774693,67.19434063,1.327996139,66.19183129,2.236174398,3.400961025
27,46.243634,1.06043858,1.011853507,6.38320902,29.69342006,6.501746169,53.0551431,68.27782596,1.313892846,67.47979185,2.107023292,3.49349523
19,42.06703596,1.053518916,1.011904147,5.4635312,43.68404548,7.206255949,47.66043628,62.3725542,1.31882752,66.74073242,2.302510476,3.3699101
1,62.8670971,1.05391212,1.012097832,5.490138714,27.68841866,7.912564943,68.9786633,62.3667087,1.359000764,65.31926356,2.086932743,3.352837327
22,42.26280175,1.063295411,1.014229735,6.444899278,71.95644956,8.416414303,47.78168122,63.60961894,1.333270446,65.92353366,2.04443896,3.377035421
28,45.57434609,1.078534359,1.016174352,8.207749857,30.67832667,15.50083381,52.92412907,71.37578527,1.477949645,66.84545974,2.051832869,3.41804683
20,38.55123238,1.056936844,1.013537152,5.70077961,38.26173013,17.27689355,44.28855172,63.01649175,1.259569396,65.31916042,2.088716462,3.323238381
23,50.56467168,1.065287844,1.014368754,6.693859649,69.29531328,18.55965414,57.53410025,64.69423559,1.497552882,67.39990476,2.141347991,3.497744361
16,39.17217621,1.063079703,1.017453485,5.995797357,36.50852423,37.80396916,44.17337004,64.05814978,1.453477536,66.21335242,2.078171671,3.345374449
21,44.65171439,1.073282749,1.018269838,7.240502937,53.73612335,39.39504405,51.18048091,66.729442,1.385435811,66.29647577,1.88165897,3.411894273
44,42.45128755,1.050726651,1.010957672,5.221287554,34.58012876,4.106523605,47.48427039,72.4055794,1.26345614,68.23218884,2.905162712,3.519313305
5,38.9340161,1.049585882,1.011189902,5.04029517,27.18396243,4.144973166,44.68143113,70.96243292,1.402753903,68.78881932,2.060812269,3.530411449
36,35.30413994,1.053351947,1.012169914,5.403236152,38.39728863,4.464285714,41.18151603,74.01749271,1.362569231,69.51982507,2.602095023,3.60058309
49,43.42079781,1.052346679,1.01230571,5.258721311,16.66448087,4.981781421,48.46375956,65.87650273,1.389886091,65.69387978,2.285523139,3.359562842
18,56.42733257,1.049101899,1.010909595,5.011831712,26.59979966,5.059341729,62.86718374,62.91070406,1.263713693,66.94029765,2.218190158,3.4069834
4,53.99138075,1.053252391,1.011792224,5.443933054,23.6359205,5.258891213,62.11801255,71.64225941,1.276478541,70.32343096,1.956834049,3.633891213
34,32.62683012,1.051847638,1.012280459,5.199089317,24.96323993,5.727968476,36.12481611,62.80210158,1.239512821,64.85914186,1.733127413,3.145359019
3,91.56348291,1.051972081,1.01148584,5.318055556,34.49027778,6.285042735,101.2974573,71.92307692,1.689557692,69.27685897,2.456889538,3.58974359
25,46.39073265,1.04831636,1.010055438,5.02066838,9.422390746,6.791298201,51.70690231,57.03984576,1.374071895,68.55475578,1.968751923,3.573264781
2,62.71174419,1.050748443,1.010864028,5.237023256,28.98527907,7.065348837,71.15455814,67.61860465,1.3308,65.73209302,2.580224947,3.395348837
30,100.4977947,1.054548885,1.01013218,5.837490494,19.10623574,7.413954373,115.6131559,64.04942966,1.335980989,68.28326996,1.710412429,3.562737643
31,36.54617747,1.055196676,1.012671636,5.588191126,26.5884471,7.969948805,40.13977816,61.80887372,1.292012433,63.93600683,1.946023669,3.201365188
12,45.40997278,1.06921119,1.015859474,5.594809437,49.96231397,8.134782214,50.97972777,63.90290381,1.351327747,67.5569873,2.594078313,3.445553539
48,64.11687307,1.044418942,1.010974841,4.389814241,33.23334365,8.364489164,70.49058824,63.34674923,1.246045902,65.42043344,2.491135622,3.365325077
10,38.99982671,1.055816267,1.012594442,5.678960289,17.71971119,8.505581227,43.67077978,66.91191336,1.334421512,64.85884477,2.50487456,3.376895307
29,36.7718,1.050701191,1.011177001,5.190533333,17.13703333,8.75,42.1081,59.40666667,1.38945,69.14,1.940394089,3.596666667
47,45.50089888,1.046299712,1.011744032,4.535814607,33.61859551,9.015393258,50.05966292,65.39325843,1.383578125,68.79382022,2.536966701,3.471910112
43,27.52035813,1.056004056,1.014029946,5.513415978,26.31250689,10.46008264,32.21438017,70.33057851,1.282234043,68.80606061,1.789321267,3.504132231
11,43.59894921,1.049341798,1.012598366,4.821856392,36.58302102,10.61302102,49.01298599,63.29684764,1.282668126,68.22504378,2.495643052,3.492119089
