,count,mean,std,min,25%,50%,75%,max
ABV,28595.0,-1.1144550340563208e-16,1.0000174860330324,-5.779055134339511,-0.6244603358838668,-0.0011602961812189176,0.6349008932842733,2.4311990806248764
IBU,28595.0,8.696973509915547e-17,1.0000174860330326,-1.6253678430689311,-0.6537983690600585,-0.196142552883943,0.5110495793520003,5.271222291796183
Color,28595.0,-4.683941447483087e-17,1.0000174860330324,-1.076141735398023,-0.6340685073918244,-0.4355866499196535,0.1221309661178513,4.867651740225209
OG_sg,28595.0,1.5823522088897772e-15,1.0000174860330324,-4.425734908118431,-0.3905398141005352,-0.0025402858295922376,0.6182589594039303,1.9374573555251742
FG_sg,28595.0,-9.998040746998912e-15,1.0000174860330324,-4.381045336772605,-0.4766579855229989,0.00013391146406227668,0.6388812576911831,2.0333053117089417
Size,28595.0,-3.1806074550548284e-17,1.0000174860330324,-0.25504292804864426,-0.15100205457599342,-0.14003511364663979,-0.12158280033693374,28.752225699379213
BoilSize,28595.0,3.1806074550548284e-17,1.0000174860330324,-0.2705450649460114,-0.16202612328577,-0.12404449370468552,-0.11319259953866138,28.590067469595187
Efficiency,28595.0,8.846064484371242e-17,1.0000174860330324,-4.08003116574944,-0.09224614123486535,0.27027977008464144,0.6328056814041482,2.445435238001682
BoilGravity_sg,28595.0,-5.911705622125736e-15,1.0000174860330324,-2.1357780073211456,-0.5003996326502315,-0.22118869063324093,0.13779680624573679,17.807860708177845
BrewMethod,28595.0,5.3175780889197915e-17,1.0000174860330326,-2.359445745437328,-0.3853015772848117,0.6017705067914464,0.6017705067914464,0.6017705067914464
